name,release_date,revenue,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,budget,runtime
Tarzan,1999.454794520548,283900254.0,1.165,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,16,2,130000000.0,88.0
The Royal Tenenbaums,2001.9424657534248,76758193.0,9.088,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,14,4,21000000.0,110.0
James and the Giant Peach,1996.2794520547943,55159783.0,4.256,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,12,2,38000000.0,79.0
"Mystery, Alaska",1999.7424657534248,14755189.0,5.052,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,1,4,28000000.0,119.0
Last Dance,1996.33698630137,11171714.0,2.456,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,3,2,0.0,103.0
My Science Project,1985.6,9736051.0,0.709,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,9,3,0.0,94.0
Homeward Bound II: Lost in San Franc…,1996.186301369863,62384706.0,3.075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,1,,
The Muppets,2011.8849315068492,94189503.0,3.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,23,4,45000000.0,103.0
Turner & Hooch,1989.5698630136983,150176361.0,2.075,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,28,3,13000000.0,100.0
Oceans,2010.3068493150688,20751600.0,3.679,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,22,2,0.0,84.0
It's Pat,1994.6465753424657,125666.0,1.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,26,3,0.0,74.0
The Finest Hours,2016.0794520547945,27569558.0,2.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29,1,80000000.0,117.0
Shoot to Kill,1988.1150684931504,60097074.0,2.075,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0.0,109.0
Hannah Montana the Movie,2009.27397260274,89443640.0,1.579,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,10,2,35000000.0,102.0
First Kid,1996.6575342465756,50465108.0,2.355,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,30,3,0.0,101.0
Consenting Adults,1992.783561643836,43859823.0,2.662,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,10,16,4,18000000.0,99.0
Dan in Real Life,2007.7945205479448,58350234.0,0.761,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,20,4,25000000.0,98.0
Sorority Boys,2002.2246575342465,14797862.0,3.522,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,22,1,12000000.0,93.0
Simon Birch,1998.6876712328767,32809442.0,2.208,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,11,3,20000000.0,114.0
In the Army Now,1994.6082191780824,59673787.0,2.632,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,12,3,0.0,91.0
Bad Company,2002.4301369863012,43756218.0,6.884,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,7,2,70000000.0,116.0
Wreck-It Ralph,2012.827397260274,200354959.0,4.588,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,4,165000000.0,101.0
Iron Man 3,2013.33698630137,424084233.0,6.41,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,200000000.0,130.0
