name,release_date,MovieSuccessLevel,director,rating_is_G,rating_is_Not Rated,rating_is_PG,rating_is_PG-13,rating_is_R,genre_is_Action,genre_is_Adventure,genre_is_Black Comedy,genre_is_Comedy,genre_is_Concert/Performance,genre_is_Documentary,genre_is_Drama,genre_is_Horror,genre_is_Musical,genre_is_Romantic Comedy,genre_is_Thriller/Suspense,genre_is_Western,month,day,season,is_animation,budget,runtime
The Muppet Christmas Carol,1992.9342465753425,2,5.629,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,11,4,0.0,25031076.26514611,85.0
Step Up 2 the Streets,2008.120547945205,2,2.218,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,14,1,0.0,31263219.741480608,98.0
Fantasia 2000 (Theatrical Release),2000.454794520548,1,3.237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,16,2,0.0,37389140.534262486,103.0
The Santa Clause 2,2002.8246575342464,4,4.129,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,4,0.0,105739716.50917175,104.0
The Recruit,2003.0849315068488,3,3.117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,31,1,0.0,73163749.99999999,115.0
Money for Nothing,1993.684931506849,1,0.93,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,10,3,0.0,22278235.294117644,100.0
Bad Company,1995.054794520548,1,1.111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,20,1,0.0,42246784.77690288,108.0
I Love Trouble,1994.490410958904,2,3.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,29,2,0.0,88862854.25101215,123.0
The Absent Minded Professor,1961.208219178082,4,2.017,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,16,1,0.0,215331438.12709028,96.0
Jungle 2 Jungle,1997.183561643836,3,5.383,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,1,0.0,58348660.43613707,97.0
Tex,1982.87397260274,2,0.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,19,4,0.0,66719274.61139895,103.0
Life With Mikey,1993.4219178082192,2,1.4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,2,0.0,4050588.2352941176,91.0
Gone Fishin',1997.4109589041093,2,2.043,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,30,2,0.0,96639968.84735201,94.0
Rogue One: A Star Wars Story,2016.9479452054795,5,0.908,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,16,4,0.0,243872053.73176613,133.0
The Marrying Man,1991.2602739726028,2,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,5,2,0.0,55866593.245227605,116.0
Bubble Boy,2001.641095890411,1,1.259,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,24,3,0.0,36354658.38509316,84.0
Baby: Secret of the Lost Legend,1985.2246575342465,2,1.534,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,22,1,0.0,59836524.163568765,95.0
The Fox and the Hound,1981.5205479452047,3,1.571,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,10,3,1.0,38634323.43234323,82.0
High Heels and Low Lifes,2001.8109589041096,1,3.432,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,26,4,0.0,36354658.38509316,86.0
The Tie That Binds,1995.6794520547944,1,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,8,3,0.0,26884317.58530183,99.0
John Carter,2012.1890410958904,3,13.918,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,1,0.0,318665775.2380289,132.0
Blank Check,1994.1123287671232,2,2.26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,11,1,0.0,25671491.228070173,93.0
Guardians of the Galaxy,2014.5780821917808,4,24.097,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,3,0.0,210155405.17707485,121.0
Star Wars Ep. VII: The Force Awakens,2015.9534246575345,5,3.237,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12,18,4,0.0,27164338.422982313,103.0
A Goofy Movie,1995.2657534246573,2,2.764,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7,2,1.0,34565551.18110236,78.0
Hocus Pocus,1993.5369863013696,3,7.263,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,16,3,0.0,56708235.29411764,96.0
Pete’s Dragon,2016.6082191780824,3,7.428,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,12,3,0.0,79258417.462824,103.0
Night Crossing,1982.0958904109589,1,4.441,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,0.0,66719274.61139895,107.0
Lilo & Stitch,2002.468493150685,4,9.204,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,21,2,1.0,130141189.54974984,85.0
Metro,1997.0465753424653,2,3.485,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0.0,100286760.12461057,117.0
National Treasure,2004.87397260274,4,5.697,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,19,4,0.0,154925886.7125463,131.0
Shanghai Noon,2000.4,3,1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,2,0.0,93472851.33565621,110.0
